chem_fp_001,chem_fp_005,chem_fp_006,chem_fp_007,chem_fp_011,chem_fp_012,chem_fp_013,chem_fp_014,chem_fp_015,chem_fp_017,chem_fp_018,chem_fp_019,chem_fp_020,chem_fp_021,chem_fp_022,chem_fp_023,chem_fp_028,chem_fp_029,chem_fp_082,chem_fp_120,chem_fp_121,chem_fp_122,chem_fp_123,chem_fp_124,chem_fp_126,chem_fp_127,chem_fp_135,chem_fp_136,chem_fp_139,chem_fp_141,chem_fp_142,chem_fp_144,chem_fp_145,chem_fp_150,chem_fp_151,chem_fp_161,chem_fp_169,class
0.0,18,5,13,6,12,12,6,6,6,6,6,3,10,9,4,1,2,3,5,18,12,6,0,5,7,0,0,4,0,0,0,0,0,0,0,6,1
0.0,15,4,11,4,11,9,4,6,5,6,6,3,10,6,3,3,0,3,4,15,9,6,0,4,6,2,2,0,1,1,3,3,0,0,0,6,0
0.0,12,6,6,6,6,12,6,0,6,0,0,5,5,0,0,6,0,6,5,11,11,0,0,6,15,5,5,4,3,3,2,2,0,0,0,0,0
0.0,25,4,21,5,20,11,4,14,7,13,14,3,18,14,6,5,0,2,7,27,11,16,0,4,5,1,1,1,0,0,3,3,0,0,0,13,1
0.0,28,7,21,7,21,16,7,12,9,12,12,1,15,8,6,3,0,5,10,29,17,12,0,7,6,0,3,1,2,4,4,7,0,0,0,12,1
0.0,24,6,18,8,16,12,8,12,4,12,12,1,15,10,6,1,0,3,2,26,14,12,5,6,9,0,0,3,0,0,8,13,1,0,4,12,1
0.0,22,4,18,4,18,10,4,12,6,12,12,4,17,12,9,4,0,3,7,23,11,12,0,4,6,2,2,0,0,0,3,3,0,0,0,12,0
0.0,14,4,10,4,10,8,4,6,4,6,6,2,9,4,3,4,0,3,1,15,9,6,6,4,6,3,3,0,1,1,3,3,0,0,6,6,0
0.0,34,6,28,6,28,13,4,21,9,19,18,7,27,22,12,3,4,1,7,38,16,22,6,2,2,0,0,0,1,0,2,2,0,2,6,16,0
0.0,15,4,11,4,11,9,4,6,5,6,6,2,9,5,3,2,0,3,4,15,9,6,0,4,5,1,1,1,2,4,1,1,0,0,0,6,0
0.0,10,3,7,3,7,10,3,0,7,0,0,2,2,1,0,2,0,2,4,9,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,28,4,24,4,24,28,4,0,24,0,0,27,27,21,0,2,16,4,4,31,31,0,20,4,6,0,0,0,0,0,1,1,0,5,12,0,1
0.0,19,9,10,9,10,10,5,9,5,5,2,4,6,4,2,5,0,4,2,21,11,10,5,8,22,5,7,9,3,6,9,13,3,3,0,2,0
0.0,36,10,26,10,26,24,10,12,14,12,12,10,28,18,4,5,2,9,3,40,28,12,15,10,35,3,3,7,9,12,7,9,5,2,12,12,0
0.0,19,9,10,9,10,10,5,9,5,5,2,4,6,4,2,5,0,4,2,21,11,10,5,8,22,5,7,9,3,6,9,13,3,3,0,2,0
0.0,16,5,11,5,11,4,4,12,0,11,10,0,10,7,7,0,0,0,2,17,5,12,0,5,7,1,2,3,2,3,5,6,0,0,0,11,1
0.0,14,4,10,4,10,14,4,0,10,0,0,7,7,5,0,4,5,0,3,14,14,0,8,4,6,1,1,0,2,2,0,0,0,0,0,0,1
0.0,14,4,9,7,7,14,7,0,7,0,0,4,4,1,0,6,1,2,4,14,14,0,6,4,3,0,0,1,0,0,1,2,0,0,6,0,1
0.0,26,4,22,4,22,14,4,12,10,12,12,7,21,16,9,4,2,2,7,28,16,12,6,4,3,0,0,0,0,4,0,0,0,4,6,12,0
0.0,100,33,67,34,66,89,32,11,57,9,7,45,54,36,7,15,17,16,35,103,92,11,26,32,408,23,23,5,21,33,34,37,8,15,0,6,0
0.0,10,2,8,2,8,4,1,6,3,5,4,1,6,6,4,1,0,0,3,10,4,6,0,2,1,0,0,1,0,0,0,0,0,0,0,5,1
0.0,25,4,21,5,20,9,4,16,5,15,15,2,18,13,8,3,0,1,6,27,10,17,0,4,5,0,0,4,0,0,3,3,0,0,0,15,1
0.0,15,6,9,6,9,15,6,0,9,0,0,6,6,5,0,2,2,4,8,14,14,0,0,6,9,0,0,1,0,0,2,4,0,0,0,0,1
